Strategy,TimestampUTC,Return%,Sharpe,MaxDD%,Trades,WinRate%,AvgWin%,AvgLoss%,Expectancy%,Exposure%,prob,size,stop,take,trail,ok
0.946215255887517,0.01155135303573352,0.015472907179064,7.510905494310938,420.0,45.95238095238095,1.0420507771648164,2025-09-15 18:04:16,,,,0.65,0.5,0.02,0.02,0.01,True
2.5323015195270138,0.02883915368653128,0.0372403582925716,7.936599965004831,420.0,47.14285714285714,1.1113411555034858,2025-09-15 18:04:17,,,,0.65,0.5,0.02,0.02,0.02,True
-0.9802964682879778,-0.010812063089242251,-0.0134746942863017,6.356460598345071,420.0,45.714285714285715,0.9634870965270064,2025-09-15 18:04:18,,,,0.65,0.5,0.02,0.03,0.01,True
0.5755200742459943,0.007851438294467428,0.00944206850511,6.871037597044749,420.0,46.904761904761905,1.0281414472138748,2025-09-15 18:04:19,,,,0.65,0.5,0.02,0.03,0.02,True
-0.9802964682879778,-0.010812063089242251,-0.0134746942863017,6.356460598345071,420.0,45.714285714285715,0.9634870965270064,2025-09-15 18:04:20,,,,0.65,0.5,0.02,0.05,0.01,True
0.5755200742459943,0.007851438294467428,0.00944206850511,6.871037597044749,420.0,46.904761904761905,1.0281414472138748,2025-09-15 18:04:21,,,,0.65,0.5,0.02,0.05,0.02,True
3.792557041739686,0.023627979940168867,0.0345456960317871,14.383221518729206,420.0,45.95238095238095,1.086058605787792,2025-09-15 18:04:22,,,,0.65,1.0,0.01,0.02,0.01,True
3.792557041739686,0.023627979940168867,0.0345456960317871,14.383221518729206,420.0,45.95238095238095,1.086058605787792,2025-09-15 18:04:23,,,,0.65,1.0,0.01,0.02,0.02,True
-0.10558651213061765,0.001228558379658709,0.0016602357735643,12.268112645882711,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:24,,,,0.65,1.0,0.01,0.03,0.01,True
-0.10558651213061765,0.001228558379658709,0.0016602357735643,12.268112645882711,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:25,,,,0.65,1.0,0.01,0.03,0.02,True
-0.10558651213061765,0.001228558379658709,0.0016602357735643,12.268112645882711,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:27,,,,0.65,1.0,0.01,0.05,0.01,True
-0.10558651213061765,0.001228558379658709,0.0016602357735643,12.268112645882711,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:28,,,,0.65,1.0,0.01,0.05,0.02,True
1.7063277042005387,0.011551355735882726,0.0154729120237533,14.383221518729329,420.0,45.95238095238095,1.0420507771648164,2025-09-15 18:04:29,,,,0.65,1.0,0.02,0.02,0.01,True
4.926229608354982,0.028839160410990754,0.0372403695055269,15.15454097836213,420.0,47.14285714285714,1.1113411555034858,2025-09-15 18:04:30,,,,0.65,1.0,0.02,0.02,0.02,True
-2.113463204010213,-0.010812065810204817,-0.0134746985124359,12.2681126458827,420.0,45.714285714285715,0.9634870965270064,2025-09-15 18:04:31,,,,0.65,1.0,0.02,0.03,0.01,True
0.9855086430238469,0.0078514402638238,0.0094420713532425,13.215132504813631,420.0,46.904761904761905,1.0281414472138748,2025-09-15 18:04:32,,,,0.65,1.0,0.02,0.03,0.02,True
